id;route_id;sec;location_id;lat;lng;description;activity
3819;Milan-Shenyang(North);18;22490;0.000000;0.000000;Chita;
3820;Milan-Suzhou(North);18;22490;0.000000;0.000000;Chita;
3821;Hamburg-Shenyang(North);11;22967;0.000000;0.000000;Nizhneudinsk;
3822;Malaszewicze-Shenyang(North);8;22967;0.000000;0.000000;Nizhneudinsk;
3823;Warsaw-Shenyang(North);8;22967;0.000000;0.000000;Nizhneudinsk;
3824;Milan-Shenyang(North);15;22967;0.000000;0.000000;Nizhneudinsk;
3825;Milan-Suzhou(North);15;22967;0.000000;0.000000;Nizhneudinsk;
3846;Hamburg-Dalian(North);5;0;52.073400;23.603800;Terespol, Poland;
3847;Hamburg-Dalian(North);15;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3848;Hamburg-Dalian(North);17;0;49.220287;119.754410;Hulun Buir;
3849;Malaszewicze-Dalian(North);2;0;52.073400;23.603800;Terespol, Poland;
3850;Malaszewicze-Dalian(North);12;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3851;Malaszewicze-Dalian(North);14;0;49.220287;119.754410;Hulun Buir;
3852;Hamburg-Beijing(North);4;0;52.073400;23.603800;Terespol, Poland;
3853;Hamburg-Beijing(North);14;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3854;Hamburg-Beijing(North);16;0;49.220287;119.754410;Hulun Buir;
3855;Warsaw-Dalian(North);2;0;52.073400;23.603800;Terespol, Poland;
3856;Warsaw-Dalian(North);12;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3857;Warsaw-Dalian(North);14;0;49.220287;119.754410;Hulun Buir;
3858;Milan-Dalian(North);9;0;52.073400;23.603800;Terespol, Poland;
3859;Milan-Dalian(North);19;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3860;Milan-Dalian(North);21;0;49.220287;119.754410;Hulun Buir;
3861;Hamburg-Dalian(North);7;Moscow, Moscow;0.000000;0.000000;Moscow;
3862;Malaszewicze-Dalian(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
3863;Hamburg-Beijing(North);6;Moscow, Moscow;0.000000;0.000000;Moscow;
3864;Warsaw-Dalian(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
3865;Milan-Dalian(North);11;Moscow, Moscow;0.000000;0.000000;Moscow;
3866;Hamburg-Dalian(North);9;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3867;Malaszewicze-Dalian(North);6;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3868;Hamburg-Beijing(North);8;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3869;Warsaw-Dalian(North);6;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3870;Milan-Dalian(North);13;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3871;Hamburg-Dalian(North);6;Brest, Brest;0.000000;0.000000;Brest;
3872;Malaszewicze-Dalian(North);3;Brest, Brest;0.000000;0.000000;Brest;
3873;Hamburg-Beijing(North);5;Brest, Brest;0.000000;0.000000;Brest;
3874;Warsaw-Dalian(North);3;Brest, Brest;0.000000;0.000000;Brest;
3875;Milan-Dalian(North);10;Brest, Brest;0.000000;0.000000;Brest;
3876;Hamburg-Dalian(North);4;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3877;Hamburg-Beijing(North);3;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3878;Warsaw-Dalian(North);1;Warsaw, Mazovia;0.000000;0.000000;Warsaw;P
3879;Milan-Dalian(North);8;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3880;Hamburg-Dalian(North);3;Poznan, Greater Poland;0.000000;0.000000;Poznan;
3881;Milan-Dalian(North);7;Poznan, Greater Poland;0.000000;0.000000;Poznan;
3882;Hamburg-Dalian(North);1;Hamburg, Hamburg;0.000000;0.000000;Hamburg;P
3883;Hamburg-Beijing(North);1;Hamburg, Hamburg;0.000000;0.000000;Hamburg;P
3884;Malaszewicze-Dalian(North);1;Malaszewicze, Lublin;0.000000;0.000000;Malaszewicze, Poland;P
3885;Hamburg-Dalian(North);2;77;0.000000;0.000000;Berlin;
3886;Hamburg-Beijing(North);2;77;0.000000;0.000000;Berlin;
3887;Milan-Dalian(North);6;77;0.000000;0.000000;Berlin;
3888;Hamburg-Beijing(North);20;Beijing, Beijing;0.000000;0.000000;Beijing;D
3889;Hamburg-Dalian(North);20;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3890;Malaszewicze-Dalian(North);17;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3891;Hamburg-Beijing(North);19;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3892;Warsaw-Dalian(North);17;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3893;Milan-Dalian(North);24;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3894;Hamburg-Dalian(North);18;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3895;Malaszewicze-Dalian(North);15;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3896;Hamburg-Beijing(North);17;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3897;Warsaw-Dalian(North);15;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3898;Milan-Dalian(North);22;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3899;Hamburg-Dalian(North);19;Changchun, Jilin;0.000000;0.000000;Changchun;
3900;Malaszewicze-Dalian(North);16;Changchun, Jilin;0.000000;0.000000;Changchun;
3901;Hamburg-Beijing(North);18;Changchun, Jilin;0.000000;0.000000;Changchun;
3902;Warsaw-Dalian(North);16;Changchun, Jilin;0.000000;0.000000;Changchun;
3903;Milan-Dalian(North);23;Changchun, Jilin;0.000000;0.000000;Changchun;
3904;Hamburg-Dalian(North);21;Dalian, Liaoning;38.912220;121.602220;Dalian;D
3905;Malaszewicze-Dalian(North);18;Dalian, Liaoning;38.912220;121.602220;Dalian;D
3906;Warsaw-Dalian(North);18;Dalian, Liaoning;38.912220;121.602220;Dalian;D
3907;Milan-Dalian(North);25;Dalian, Liaoning;38.912220;121.602220;Dalian;D
3908;Hamburg-Dalian(North);16;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3909;Malaszewicze-Dalian(North);13;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3910;Hamburg-Beijing(North);15;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3911;Warsaw-Dalian(North);13;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3912;Milan-Dalian(North);20;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3913;Milan-Dalian(North);3;Munich, Bavaria;0.000000;0.000000;Munich;
3914;Milan-Dalian(North);4;Nuremberg, Bavaria;0.000000;0.000000;Nuremberg;
3915;Milan-Dalian(North);5;17533;0.000000;0.000000;Erfurt;
3916;Milan-Dalian(North);1;Milan, Lombardy;0.000000;0.000000;Milan;P
3917;Milan-Dalian(North);2;20843;0.000000;0.000000;Bolzano;
3918;Hamburg-Dalian(North);8;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3919;Malaszewicze-Dalian(North);5;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3920;Hamburg-Beijing(North);7;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3921;Warsaw-Dalian(North);5;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3922;Milan-Dalian(North);12;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3923;Hamburg-Dalian(North);10;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3924;Malaszewicze-Dalian(North);7;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3925;Hamburg-Beijing(North);9;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
